Global CO2 emissions from fossil fuel use and cement production 1970-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions,"2016 update with 2015 emissions of fossil fuel use and industrial processs emissions (cement production, carbonate use of limestone and dolomite, non-energy use of fuels and other combustion, chemical and metal processes, solvents, agricultural liming and urea, waste and fossil fuel fires). Excluded are: short-cycle biomass burning (such as agricultural waste burning), large-scale biomass burning (such as forest fires) and carbon emissions/removals of land-use, land-use change and forestry (LULUCF).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Substance:,"CO2 country totals excluding short-cycle biomass burning (such as agricultural waste burning) and excluding large-scale biomass burning (forest fires, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:,kton (Gg) CO2 per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,14/11/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,"EDGARv4.3.2, European Commission, Joint Research Centre (JRC)/PBL Netherlands Environmental Assessment Agency. Emission Database for Global Atmospheric Research (EDGAR), release version 4.3.2. http://edgar.jrc.ec.europe.eu, 2016 forthcoming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The EDGARv4.3.2FT2015 emissions are calculated based on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,6246,6219,6326,6590,6383,5758,6625,7401,7738,7738,8332,8914,9900,10354,10824,10977,11004,11352,12140,12074,11999,12195,12565,11956,12874,12792,13966,14399,16081,17065,20765,22638,24089,26028,26587,32085,34545,37722,37006,35342,38654,36531,34080,35446,35533,35283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,6244,6286,6047,5747,7840,9189,10523,11565,11839,15130,14175,15926,18937,22386,25114,22632,23682,29671,29212,28249,32398,35486,35052,35994,37833,39424,42464,42369,45402,44899,45600,44786,45840,45688,48414,58527,61325,64581,65943,61645,61451,56357,52435,44649,44902,45898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,5905,5893,6452,8423,8181,7799,6486,7118,7267,7275,6746,6711,5778,5771,5438,4856,4613,4887,5101,6542,7508,7465,8259,8408,8489,8782,9162,9373,9872,10138,10214,10282,10225,10524,10582,10617,12297,12212,11745,8276,7904,8337,8266,8776,9012,9180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,5518,5502,5960,5620,5449,5787,5962,5823,5900,6389,5733,5172,4789,3834,3453,3230,3185,3580,4564,4912,3907,4429,4857,4604,4325,4729,5540,5619,5824,6849,5458,5024,4638,4590,5709,5480,6413,5951,7830,7991,6607,7914,8072,7076,7230,7395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,5374,5464,5980,7390,7521,6703,6279,5459,6610,7436,7514,7609,5596,5975,6106,7118,7516,7686,5928,5969,5969,7404,7954,11354,12479,14461,15023,16491,16368,16864,15224,16430,16364,16388,16587,16503,15557,14132,17732,21486,20543,20880,21084,20986,21435,21562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,4838,4358,4366,5466,6727,7321,8398,9774,11002,11898,12558,13860,13968,13109,13492,14478,15157,14037,15667,15724,16555,16639,16999,16594,17272,18698,20820,22005,20623,18478,19499,20428,22560,22793,23086,26855,29118,30985,30883,34506,36226,37913,37984,40834,42498,41749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,4658,4697,4643,3672,4254,4173,4478,4796,4970,5170,5478,5424,5596,5427,5975,6381,6668,5031,4775,4755,4440,4361,4634,5168,6084,7370,7729,7715,8378,9203,10017,8682,8693,10896,10372,10967,10162,10633,8094,7595,8356,8504,9011,10419,11262,11640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,4427,4417,5034,4637,4858,5023,5405,5716,6432,7555,7648,6665,6879,7383,7994,7620,7695,7961,7906,7762,6556,4350,2325,2180,2308,2044,2034,1564,1796,3031,3134,3351,3899,4195,4378,4137,4098,4209,4167,3751,4075,4328,4209,4401,4354,4439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,4226,4243,4763,4797,5294,5388,5756,6474,7191,8499,9367,9676,9393,10934,11380,11764,12087,12223,13036,14073,14646,15099,16019,16648,16762,17127,17667,18232,18996,19991,21023,21848,21617,21408,22634,23221,23966,24716,25155,24835,25600,24270,25229,25296,27255,29506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,3806,3893,5080,5053,5410,5608,5760,6224,6344,6697,6894,6554,6372,7369,7727,6822,7631,8770,8800,9373,8013,8393,9744,9625,11251,11962,12868,14644,16539,18024,18538,18246,19854,19585,19482,19280,21062,21081,21903,20273,20673,22250,22891,22633,23860,24273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,3722,3721,3890,4028,4066,4009,4561,4877,4879,4825,5168,5145,4813,4492,5204,5348,5974,6213,6176,6521,6410,6159,6217,6129,6104,6610,7231,6890,7419,7657,8517,7951,7726,6877,7913,8834,9864,9865,10408,12203,13233,13548,13123,14444,14869,15201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,3655,3811,4220,4525,4545,4718,4704,4251,4065,3679,3659,3350,3247,3171,3123,3110,3197,3153,3442,3564,2931,3046,3040,2720,2322,2297,1926,2437,2311,1890,1922,1936,2004,2153,2199,2332,2714,1819,1938,2126,2224,2623,3378,4296,4767,4818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan (former),3386,3400,3681,4762,4488,3502,3386,3528,3200,3296,3894,3780,3906,3947,3578,4221,4114,3166,4579,4120,5501,4897,4633,3296,4857,4539,4470,5410,4852,5331,5985,6574,8098,8125,9196,10354,12790,13969,14773,15331,16102,16694,16401,16447,16422,16808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,3184,3153,3314,3913,4189,4980,5347,5541,5943,6607,7454,7236,7878,7454,7736,8990,9995,11264,11798,12906,13670,12945,14400,15221,16508,20201,20568,22311,22749,24301,26323,31026,32734,34247,35285,38609,40982,44676,50639,55070,60356,60559,61732,64445,67039,71360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,3152,3166,2911,3099,2927,2528,2565,2496,2181,2061,2494,2197,2030,1857,1567,1556,1521,1520,1528,1511,1141,954,1140,1329,1123,1234,1190,1316,1271,1265,1546,1873,1962,2502,2764,2647,2807,3347,3197,3432,3753,4205,4191,4538,4709,4825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,3100,3150,3762,3924,3375,2964,3031,3272,3868,4183,4181,4308,4862,4982,4358,3976,3944,4526,4356,4140,4201,4385,5470,5355,6157,6188,8746,8719,9010,9947,11381,11289,11822,12795,13231,14475,12970,14214,13524,13225,14459,15330,15554,13717,14495,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),2959,3617,4267,4005,3826,4384,4941,4788,5415,4913,4845,5184,5454,5570,5159,4934,4693,4890,5156,5996,6371,6613,7118,8348,8979,8285,8038,8748,8547,8114,8203,7685,8189,8926,9597,10307,11098,12040,13106,13834,15141,16406,16930,17109,17849,18123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,2958,2976,3566,4503,5310,5483,5950,6568,6953,7420,7522,8053,8491,9643,9081,10779,12536,12170,12479,12386,12789,12500,13036,12982,13046,13156,13714,14498,15386,15504,15726,16452,17291,17797,14997,16353,16166,18890,18239,18686,19075,19686,19743,21433,21003,22146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,2898,2927,3011,3029,3183,3127,3066,3176,3198,3541,3501,3744,3002,3939,3845,3588,3354,3688,3829,3636,3319,2796,2529,2384,3177,3159,3255,3261,3268,3092,2576,2507,2625,3048,2310,2591,2656,2899,2985,2922,3040,3475,3689,4436,4858,4934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,2763,2820,3318,3662,2890,3525,2974,3282,3525,3306,3114,3177,2615,2037,2115,1886,1986,2165,2295,2514,2576,2507,2197,2092,2267,2596,2924,2821,2693,2529,2359,2464,2475,2792,2825,2770,2857,3061,3141,3180,3440,3730,3736,3851,3954,4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d Ivoire,2607,2658,2956,3040,3123,3392,3878,3845,4451,4150,3947,3611,3433,4043,3601,3298,3387,3281,3250,3128,2867,2959,2944,3117,3281,3565,4469,5436,5269,7052,6656,6677,7093,5579,5897,6312,6328,6196,6932,6553,7223,7028,7910,8687,9201,9889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,2574,2579,2792,3126,3168,3228,3225,3197,3042,3298,3174,2764,3124,3544,2952,2805,2904,3213,2468,2579,2708,3124,3733,3819,4064,4375,4411,4637,5717,5004,5189,6203,5410,5524,5617,7151,7552,7285,7368,8495,9061,9571,10288,9752,10056,10263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,2478,2439,2705,2894,3002,3303,3273,3754,4153,4632,4646,4006,3641,3098,3484,3655,3169,3549,3497,3729,3887,4108,4819,5319,5765,6712,6499,6922,8612,8579,9590,10098,10647,10505,11140,11666,11880,12639,11427,12036,11774,11731,11899,13550,14234,14538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,2331,2370,2482,2536,2705,2881,2947,3042,2958,2621,2648,3194,2750,1726,2006,2351,2545,2711,2848,3179,3132,2912,3432,3534,3771,4045,4392,4593,6266,6839,6089,6451,7779,7125,6692,7187,8607,8953,8078,9799,11298,12447,13512,14436,14487,14916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,2154,2170,2657,2769,2119,2161,2629,2791,2901,3096,3267,3129,3163,3147,3200,3143,3494,4054,4109,4345,4524,5080,5340,5517,5706,5593,5885,5966,6427,6665,7002,6850,7038,7780,7707,7857,7899,8251,8420,8226,7937,7654,7244,6107,6107,6164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,1927,2024,2238,2574,2516,2360,2382,2453,2528,2616,2422,2331,1973,2012,2237,2126,2134,2172,2291,2294,2332,2285,2297,2399,2509,2436,2709,2620,2691,2738,2851,2958,3099,3064,3167,3126,3232,3428,3787,3803,3656,3570,3610,3852,3893,3874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,1844,1709,2003,2378,2398,2429,2767,2811,2927,2643,3309,2808,3035,3224,3016,3026,3003,3060,3200,3179,3332,3668,3864,4042,4335,4673,4900,5447,4629,4545,4833,4810,4743,5652,5232,5140,7644,7246,7949,7934,7289,7463,7127,7079,7777,8257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1754,1779,1724,1766,2105,1851,1775,1889,3602,2896,2379,2573,2491,2704,2636,2562,2378,2374,2192,2050,2044,1990,1715,1716,1964,2279,2288,2160,2115,2167,2421,2369,2398,2594,2868,3042,3245,2902,3958,5055,6316,6952,7482,8021,8542,8663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,1659,1890,1817,7952,11401,7078,6860,2252,1433,1306,1692,1896,2197,2244,2215,2257,2189,2222,2199,2216,2156,2166,2138,2122,2025,2395,2958,3028,3600,3673,4022,3921,2563,3203,3267,3896,4345,3844,4029,4478,4851,4481,4121,4834,4620,4734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,1625,1586,1769,1985,1633,2052,1890,2030,2151,1915,1915,1739,1537,1201,1147,1350,1379,1464,1374,1420,1649,1667,1624,1501,1482,1556,1573,1520,1597,1558,1704,1848,1884,1919,1852,1821,1842,1888,1853,1887,1986,2132,2155,2226,2283,2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,1612,1620,1677,1890,2024,2006,2297,2813,2538,1643,1966,2078,2022,2188,1988,2006,2368,2348,2144,1847,1955,1965,2284,2241,2547,2708,2869,3073,3573,3605,3753,3983,4117,4269,4416,4299,4562,4689,4491,4490,4758,4784,4902,4686,4811,4927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,1552,1572,1844,2043,2137,2447,2946,3079,3657,3796,4785,5765,6447,7216,8133,8528,9190,9952,9332,9504,10191,10192,12096,12559,13165,13866,14303,14726,14945,14962,15595,15694,16736,16532,18579,19910,20223,21105,20665,21175,20658,21157,21891,21991,22696,22929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,1533,1543,1801,1880,1721,1606,1551,1581,1655,1746,1721,1740,1582,1547,1618,1714,1804,1836,1916,1931,2041,2166,2002,2102,2081,2876,3400,3129,2758,2560,2952,3169,3628,3851,4362,5598,5983,5836,6128,5868,6402,7617,8800,9852,10278,10778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
